Amount,AuditTrial,ClearingSystem,Currency,CustomerSegment,Description,ExchangeRate,Fee,FromAccountID,MerchantName,PaymentDate,PaymentID,PaymentType,ToAccountID
29145.93,Success career outside seem find nature piece project.,SWIFT,EUR,Retail,Before safe federal.,1.37,88.84,5416349498688,Fischer-Lara,2024-02-23,7137465119,Credit,6624717089631
3492.28,Difference his consumer school plan window remain matter scene effect.,SWIFT,USD,Retail,Community crime relate marriage medical him.,1.38,99.94,7687054616593,Castillo-Hale,2024-02-16,4890140860,Cash,3025049200139
85165.31,Threat ok certainly either next body fill onto election call candidate.,SWIFT,EUR,Retail,People data write station white debate.,0.81,46.42,5463455942459,"Hall, Frazier and Frost",2024-04-12,1754204902,Cash,2694195815150
164243.85,Amount prevent want oil suddenly allow cell plant suggest certainly nor recognize.,SWIFT,GBP,Corporate,Good people data thus.,0.89,51.28,7506819529085,"Matthews, Bennett and Davis",2024-07-23,9012589581,Credit,8188426370984
46147.48,Manager order husband free case dark.,ACH,EUR,Corporate,Financial production particularly let treat.,0.68,16.08,9466375858620,"Sanchez, Chan and Hansen",2024-03-30,7624281835,Credit,5857236426469
7585.8,Blue business late south its chair reduce write million front build.,RTGS,GBP,Corporate,Successful parent example TV though me.,0.79,1.47,6289458782328,Graham-Kennedy,2024-05-25,9081242320,Credit,1218706167729
113197.05,Relationship recognize safe finish be from condition last myself act technology name.,SWIFT,USD,Corporate,Single middle help house.,1.0,33.22,7837143169938,Baxter-Solis,2024-02-08,9054341236,Credit,3157084562125
29553.99,Big common role partner kitchen see.,ACH,EUR,Corporate,Mission site financial skill.,0.65,7.5,9205875308066,"Rocha, Bartlett and Williamson",2024-05-23,6080536608,Online Transfer,2970178577821
49431.02,Owner decade doctor benefit within dream player ball hour score care me.,ACH,USD,Retail,With pick show.,0.64,16.07,1281183032617,Williams Inc,2024-04-30,5657769176,Cash,4383466047314
118479.54,Wrong various to occur environmental everybody under discuss history skill suggest.,ACH,USD,Corporate,By about important election experience.,0.81,16.14,6498893390543,Oliver LLC,2024-05-18,9892175623,Credit,3365222666996
40912.11,Market dog common buy plant question tree spring may establish.,RTGS,EUR,Retail,Number nor out protect quality hand.,1.15,76.97,3524951447746,Mann-Schroeder,2024-01-27,9861889038,Credit,1734853462530
180308.3,Class bar through decide social Congress heart article easy.,SWIFT,USD,Corporate,Product why garden individual plant pressure.,1.45,26.15,8684573229945,Fisher Ltd,2024-06-09,3831084315,Online Transfer,4752254662166
3240.22,Decade it truth bill song generation computer.,ACH,USD,Corporate,Service will should.,1.5,37.14,8335671673338,"Leonard, Hutchinson and Nguyen",2024-01-03,9263233106,Cash,7215269428024
60926.4,Choice cut product property wife tree position together.,ACH,EUR,Retail,Hear start address.,0.56,6.34,7599277308612,Wright PLC,2024-03-02,6284893013,Credit,9083053419561
156000.18,Resource road as mission memory eight number current eat state sea current.,SWIFT,USD,Corporate,Enough event blood operation until.,0.51,70.7,8511254722084,Harper-Gomez,2024-07-17,7546603417,Credit,7028462440286
110981.34,Stage health money red next today describe take thing activity air.,SWIFT,USD,Retail,Into each dream wish trial up.,0.58,4.41,6189371327785,"Brown, Reyes and Fox",2024-04-06,4522641922,Cash,4783889351606
46136.38,Million economy use imagine study until him employee right strategy send.,SWIFT,USD,Retail,Finally hour represent lead best.,0.55,28.68,6362626988554,Becker and Sons,2024-06-26,2177025600,Cash,3730821709233
21917.5,Nature market will figure necessary off.,RTGS,GBP,Corporate,Study happy travel.,1.17,71.9,4997590946431,Bell-Dixon,2024-03-13,8045986915,Cash,7356498097471
39736.05,Wonder serious bank visit listen clear assume probably thus operation member reduce.,RTGS,EUR,Retail,Art turn also wide realize with.,0.96,15.52,8325449763816,Newman-Hahn,2024-02-14,7352272188,Credit,6986702337285
174822.2,Capital already lawyer no phone visit.,ACH,USD,Corporate,Network customer western during first.,1.48,6.27,6824983142333,Robertson-Rowe,2024-03-06,3032519030,Online Transfer,2825739494786
812.75,Young white interest impact go stock well before support institution nor.,ACH,EUR,Corporate,Trade particular give like miss go.,1.12,38.79,8054522086102,Thompson-Mason,2024-03-27,1035624320,Cash,3453031249806
49645.33,Under everyone candidate word population eye foot information.,RTGS,EUR,Corporate,Station each accept father simple son.,0.7,3.97,3072865217265,Reynolds-Strong,2024-05-31,7658654415,Cash,6814385648073
46499.08,Daughter run religious enjoy have consumer around modern number authority water.,SWIFT,EUR,Corporate,Culture theory board child imagine.,0.8,19.34,4311610520829,"Riley, Koch and Francis",2024-04-22,6228285676,Cash,4470472422096
42174.89,Yard better voice if security foot toward when sit crime voice goal picture.,RTGS,GBP,Corporate,Agent list program top.,0.7,44.67,8159265109801,Patel-Crawford,2024-04-07,6307108014,Online Transfer,1741796060756
161604.75,Tonight party clearly father she thank money simply process.,ACH,EUR,Retail,Join leave suggest stuff interview about.,0.72,5.77,2540011975475,"Ramos, Brown and Jones",2024-04-29,1880300206,Credit,5305484312218
165358.35,Rest live employee find again test.,RTGS,GBP,Corporate,Make year history.,0.92,7.41,9710367963447,Butler and Sons,2024-06-07,5994279528,Cash,6882614976659
147033.58,Eye force policy dream ball listen suddenly opportunity other.,SWIFT,EUR,Retail,Certainly ok follow term.,1.28,43.84,1730597328556,Davis LLC,2024-01-24,6313758241,Credit,9620057504753
73284.51,Follow idea able Republican TV station nation look eat despite character there blue.,ACH,EUR,Corporate,Black water across.,1.48,99.64,4004918025926,"Hale, Smith and Molina",2024-07-03,3976292367,Credit,9169015754209
8711.82,Fine performance reality all happy size.,RTGS,GBP,Retail,Our certainly economy ground later deep.,1.49,66.73,1467106366940,Goodman-Cannon,2024-05-02,1114784354,Cash,1006527086647
140660.37,Good tough expert offer song spend.,SWIFT,EUR,Corporate,Study recognize grow hold.,0.66,75.03,9758136278060,"Lynch, Glover and Gonzales",2024-04-12,8320009915,Cash,2614502674470
177631.42,Unit trip out thank kind at.,RTGS,EUR,Corporate,Watch amount young paper decide mean.,1.2,4.49,6545862790574,Barrett Group,2024-05-06,2243218372,Online Transfer,4840527773412
111938.41,Central break worry measure coach between great fund let white he people.,SWIFT,EUR,Retail,But play improve quality challenge.,1.29,77.03,2884598477212,"Mathews, Salas and Kelley",2024-04-30,8404316399,Online Transfer,4670246556318
194164.2,Prevent stage machine today ready executive relate for into.,SWIFT,USD,Corporate,Concern audience five information foreign.,0.63,29.36,1148501826127,Parker-Ward,2024-04-29,8355292985,Online Transfer,6732116212107
138840.43,Individual among report opportunity either listen campaign.,ACH,GBP,Corporate,Foot magazine entire work.,0.94,98.43,6200750862133,Williams-Fuller,2024-01-07,6235476724,Online Transfer,7575593062448
106646.64,Certainly bring society wrong my something without cold.,ACH,USD,Retail,To thank race hundred.,0.84,24.07,6830464795220,Rodriguez LLC,2024-04-01,5703086078,Online Transfer,2372846840767
69814.46,Themselves great impact seat difficult apply different behavior week.,SWIFT,USD,Corporate,Democratic imagine daughter baby cup.,0.85,11.21,5164582524117,Chapman-Mccarthy,2024-03-17,5415364598,Cash,9579329032063
112840.63,Clearly will camera card protect off lay week girl relate standard political choose.,ACH,USD,Retail,Woman sort majority camera mouth control.,0.77,36.95,1459996545618,"Garcia, Walker and Lopez",2024-05-21,7182150373,Credit,3066929887405
17445.8,Put meeting little he leg there although anyone turn.,SWIFT,EUR,Corporate,Similar last decision.,0.74,97.88,7770808983225,Smith LLC,2024-05-25,3986362043,Cash,6312727644073
90996.81,Population gas not real serve candidate minute become accept.,SWIFT,GBP,Corporate,Class follow response.,1.4,26.77,1605315724746,Rodriguez Inc,2024-02-08,9726731762,Credit,7578407501513
181078.4,Either program building fill could Republican population ten sound order down.,ACH,GBP,Corporate,Control truth day real American result.,0.97,56.73,3784643808029,Wood-Perez,2024-03-02,6978773353,Credit,6508557872696
177952.22,Yeah establish foreign down finally environmental easy lawyer TV evening future season price.,RTGS,USD,Corporate,Perform worker model head name site.,0.82,59.72,9264917524809,Bennett Ltd,2024-03-21,7090191651,Credit,8138467404225
16559.34,Name summer stuff decade start religious.,ACH,GBP,Retail,Quite blood traditional.,0.79,5.68,1449345384382,Mack-Lopez,2024-04-14,8452743377,Online Transfer,2820355977633
175588.36,Born if much model candidate finish environment north fear energy institution.,SWIFT,EUR,Retail,Month visit travel.,0.73,95.34,2506135581609,Valencia Ltd,2024-01-20,1685614467,Online Transfer,9378224605647
35399.03,Per investment talk physical occur stock speak baby firm resource upon forget different.,RTGS,USD,Corporate,Itself finish late me leader.,0.92,63.04,4749621542290,Hancock-Ramirez,2024-02-05,4675927923,Credit,4268583400407
54186.92,Decade beautiful similar medical field agent relate pass within beyond can.,RTGS,USD,Corporate,Represent phone personal area small note.,1.14,9.17,5709084136673,Jarvis-Petersen,2024-03-26,9013298987,Online Transfer,7724179452000
126696.41,Job effect company people small recent sense gun minute.,ACH,EUR,Corporate,Manager whatever picture clearly state magazine.,1.43,10.72,1380605751545,Hancock-Torres,2024-05-05,3349599155,Cash,3572496592965
5289.58,Kind race quality low person space decide size religious better often officer material.,RTGS,EUR,Corporate,Fish add land while blue address.,1.31,65.83,7822950312984,"Johnson, Allen and Gill",2024-06-23,4530872221,Credit,7309833292306
178014.84,Smile central need senior professional by authority yes every consumer weight against.,ACH,EUR,Corporate,Same avoid four.,1.24,82.24,6473229109028,"Castillo, Edwards and Duncan",2024-05-01,1933315797,Credit,6655224799138
83976.66,Two finish maintain should result police who.,ACH,EUR,Retail,Ahead then mention carry explain.,1.19,46.08,8920088584803,"Thompson, Gibson and Hardy",2024-06-19,1854770302,Credit,5307464958631
148691.68,Or table kid couple camera involve how sit research.,SWIFT,USD,Retail,Knowledge field pull take bed charge.,0.93,75.59,9060288787669,"Knight, Sanchez and Buck",2024-06-09,9060311816,Online Transfer,7221294449295
12569.6,Arm lot against notice course happy group wall.,RTGS,GBP,Retail,Actually quality strategy newspaper on.,1.47,9.44,6299767909741,"Rowe, Holt and Cline",2024-04-07,4204296484,Online Transfer,2046370887329
129591.04,Not other state approach to appear girl imagine data similar land suggest present.,RTGS,USD,Retail,Help state but also decision.,1.01,55.01,3648051944842,Palmer-Miller,2024-04-08,1772640269,Cash,2739097462336
78750.37,Scene family memory card federal community.,RTGS,USD,Corporate,Protect charge likely top.,0.75,66.4,5336728953583,Campbell PLC,2024-02-07,3828275425,Credit,4152579617568
54323.18,Under discussion word drive serious me its society girl always upon environment write.,ACH,USD,Corporate,Treat decision low.,1.43,67.9,7562532532463,"Smith, Turner and Williams",2024-07-14,4275966989,Cash,4483025733415
182496.2,Much letter decision million around poor allow after focus interest whether.,RTGS,USD,Corporate,Example experience form.,0.55,9.61,9665904495549,Marquez and Sons,2024-02-11,8215052885,Cash,2644665144847
148981.62,Bank whatever agency to perhaps read report.,RTGS,USD,Corporate,Good PM help.,1.0,97.54,7769693773872,Moore and Sons,2024-04-26,3962753388,Credit,7857272967451
147263.92,Than a want expert site none.,RTGS,GBP,Retail,Home when cause current century happen.,1.03,11.81,1936650562600,Francis PLC,2024-05-05,7227997228,Online Transfer,7916849980132
45498.0,Western sea international health whether specific consider decade office help less miss this.,SWIFT,GBP,Retail,Hot four your rise.,1.15,1.63,7853168318657,"Atkinson, Steele and Horne",2024-05-08,7459623126,Credit,9681098967888
36161.3,Medical again deep act couple discussion few find loss I cut already.,SWIFT,USD,Retail,Cover include boy industry save personal.,1.03,20.26,7855698122729,Stone LLC,2024-04-02,7425452725,Cash,7332649750122
42754.71,Three yourself blue everybody wait according hope.,SWIFT,GBP,Retail,Five church opportunity.,0.65,86.33,5117537377923,Williams-Mccarty,2024-02-01,1050202746,Cash,8114086887765
179483.43,Star city wonder leave race report network speak spring instead ready another.,SWIFT,EUR,Retail,Stuff everything fast remember four.,1.2,53.69,8906368898710,Stanton-Martin,2024-02-27,2169711247,Credit,4200398255372
122715.62,Factor later analysis such baby reality debate.,RTGS,GBP,Retail,Where site century wind factor.,0.87,2.22,3147480933033,Tucker-Stevens,2024-03-08,5139057735,Online Transfer,3193030962289
185052.07,Manager field lay too degree anything heavy ever crime indeed stage street eat.,ACH,GBP,Corporate,Rich have more meeting enter.,0.7,75.54,1829025989200,Harper Group,2024-04-28,7949475636,Online Transfer,2826894035784
3732.87,Strong attack whatever hundred turn bad step international result woman cell.,SWIFT,GBP,Corporate,Law act will movie treat sport.,1.48,43.35,2686885671610,"Diaz, Francis and Martin",2024-07-21,2257748540,Online Transfer,8914521083266
46249.13,Skin senior game sea way girl.,SWIFT,EUR,Retail,Some return senior executive.,0.85,86.11,8182744760174,Rice-Frost,2024-05-11,9711901470,Cash,3425596574560
95278.32,Lose natural father office seat lead respond.,SWIFT,GBP,Retail,Skin team use single.,1.05,60.78,7535860869414,Gibson Inc,2024-04-05,8035608486,Online Transfer,7351107571388
144344.76,Continue family newspaper drug process give various nothing then artist type rather.,RTGS,EUR,Retail,Television Republican huge people war.,1.33,86.8,4279679307348,Thompson-Jones,2024-03-15,3726809718,Cash,7532833266376
119390.31,Add painting religious your value Mrs economic.,RTGS,EUR,Retail,Win citizen I.,0.8,48.38,1947252134768,Thompson Inc,2024-03-07,1381891003,Online Transfer,6768767584514
42145.8,Standard work quality party information fast when visit believe actually.,RTGS,EUR,Retail,Moment focus stage compare remember day.,1.29,58.9,6212063206172,Dixon-Ross,2024-07-18,1431952724,Cash,3194529547822
51650.05,As news than heavy probably wrong white.,ACH,EUR,Retail,Outside toward majority floor cut wish.,1.13,71.42,6142435150063,"Gonzalez, Cox and Patterson",2024-05-04,5972793303,Credit,3616337056507
126980.87,Threat teach war those investment unit beautiful.,RTGS,EUR,Corporate,Manager crime thousand.,0.85,50.56,1086075366113,Maldonado-Moore,2024-05-15,8431411991,Cash,4171894840998
105883.64,Focus find white else member industry contain down.,RTGS,GBP,Corporate,Stand poor food discussion color list.,1.18,11.75,3581961478163,"Hurst, Dean and Estrada",2024-02-28,4773327668,Cash,9408604438044
100433.15,Wide personal team they both home seek table American open foot firm sea.,SWIFT,GBP,Corporate,Important wrong must whom.,0.82,16.0,4595713869765,Ramirez LLC,2024-04-12,1665038973,Cash,1880814111219
171402.87,Group capital purpose almost environmental too citizen keep deep.,ACH,EUR,Corporate,Feel share cause each relationship bar.,0.99,59.82,7980158777526,Cummings Group,2024-05-02,9916893855,Online Transfer,3209687196120
179930.72,Shoulder sure career guess ask world sport.,RTGS,USD,Retail,College base design.,0.78,10.62,1554362555748,Johnson Ltd,2024-07-27,3213754454,Credit,4389866908096
125388.83,Home door property important mission learn fill set.,RTGS,GBP,Retail,Significant appear fact office note.,1.32,72.21,3757273630907,Mckinney Ltd,2024-05-20,3834916508,Credit,8072752970713
84956.93,Them tree organization save of all strong be despite our nearly mouth especially.,SWIFT,USD,Retail,Prevent represent join note.,1.2,67.66,7777383416972,Hicks LLC,2024-03-12,5457599349,Cash,1654127356508
97734.71,Foreign record attorney identify card study.,SWIFT,USD,Corporate,Improve long artist cut.,0.57,63.97,6419454297495,"Watson, Ellis and Friedman",2024-07-27,7793422798,Credit,3002711796467
167941.9,Information cover water offer simple operation physical food institution capital.,SWIFT,EUR,Corporate,Reach black minute major.,0.78,24.13,6608165149235,Miller PLC,2024-02-22,5800855177,Cash,7841693543178
196692.83,Dinner huge remember tough agency begin consumer network day ago.,RTGS,EUR,Retail,Author site explain stock machine.,1.25,34.21,6134707982329,"Campos, Rivera and Jones",2024-05-01,8234619300,Credit,6358705312231
63484.6,Question those care nature certain leave successful.,RTGS,EUR,Corporate,War understand carry evening whom.,1.1,94.59,6116790748125,Blair-Gardner,2024-02-13,5000437096,Cash,6333369241019
18039.4,Dark interesting raise word only result quickly guy fund Mr area size trip.,ACH,USD,Corporate,Change rise manager.,1.08,19.63,1893329149611,Brown-Smith,2024-01-15,5518360140,Credit,5581097328443
27988.34,Even everything fine although store church short close eight hold language.,RTGS,EUR,Retail,Value run soon network organization expect.,0.55,85.97,7841108302308,"Holt, Hopkins and Kramer",2024-05-07,5951751279,Online Transfer,3342953787813
90457.66,Us our matter high employee very open three culture own message.,ACH,GBP,Retail,Good street force quality close over.,0.91,56.09,6374094271412,"Miller, Fisher and Hill",2024-07-21,1976750378,Credit,7421430436646
102225.38,Skill moment certain type argue keep organization bar note without.,SWIFT,USD,Corporate,Office Mr scientist decision operation.,1.27,59.11,3523528866533,"Jordan, Miller and Taylor",2024-07-26,6940001895,Cash,6753887621727
62627.3,Though up last letter base his you.,RTGS,GBP,Retail,Painting would old your.,1.19,4.72,1721995872372,Ortega-Gonzalez,2024-06-13,1509041019,Credit,4351769645901
152033.56,Peace then involve rest people seem.,RTGS,EUR,Corporate,The action song assume hear age.,1.13,39.53,9642627488665,Torres-Hodges,2024-01-24,3854147104,Online Transfer,1640006580672
138478.81,Speak form detail to bring everybody through voice kitchen almost painting century then.,ACH,USD,Corporate,Meet improve stop sing.,1.24,58.08,1688841378203,Burton-Grant,2024-01-18,5879746235,Credit,3022233296505
104995.01,Manager watch movement ago create seek court structure fall here no.,SWIFT,EUR,Corporate,That none candidate adult collection wrong away.,1.01,96.96,8487380584667,Blair-Davidson,2024-01-15,2964651685,Online Transfer,4510264965361
18020.93,Weight word glass right social boy consumer eight story certainly fight they.,SWIFT,EUR,Retail,Key reach law region with.,1.48,62.2,1939979484062,King-Patterson,2024-05-29,8327466081,Online Transfer,5136085874812
155586.31,Carry available court star enjoy night yeah dog city very television.,ACH,USD,Retail,Your alone reduce term skill.,0.89,60.95,9440586300543,"Monroe, Curry and Mcdaniel",2024-02-25,2141070885,Online Transfer,8878621510055
100409.95,As listen event call happy involve.,RTGS,EUR,Retail,Hundred cost environment red.,0.99,22.52,9698528222500,Scott LLC,2024-03-24,3169586501,Cash,1802761451649
199374.52,Station somebody have blue matter law open store fall later strategy structure president.,SWIFT,EUR,Corporate,Whether behind leg member anyone.,0.8,56.91,7238890065178,Knight-Moreno,2024-02-13,8558949086,Online Transfer,8979952995964
169171.51,Hospital other answer show machine catch drop.,SWIFT,USD,Retail,Sister important either.,0.91,83.24,9897455681630,Hernandez PLC,2024-06-21,4074275909,Credit,2397282754886
176157.81,Dream door huge class usually thank study practice debate cultural reach.,RTGS,GBP,Retail,Dog space with simple into best.,0.97,76.24,3134989243149,"Williams, Mora and Hill",2024-02-01,2413256782,Online Transfer,7872250704737
87598.14,Agency outside others example little anything.,SWIFT,GBP,Retail,Member assume consider black culture.,0.67,39.38,4045958413787,Davila Inc,2024-07-11,6000095841,Online Transfer,9475967754973
161927.58,Produce voice generation enough however discussion.,ACH,GBP,Retail,Other news quickly.,1.15,19.26,4367068165728,Lee Ltd,2024-03-20,2415373863,Cash,7340446973809
74249.17,Civil green term successful customer campaign sort but time push subject central back.,SWIFT,GBP,Retail,Eight house purpose.,1.3,4.33,1578670418615,"Walsh, Rivera and Gillespie",2024-02-23,4151254871,Credit,7408680538777
46340.29,Heart interesting phone red democratic form through pay take student bar.,ACH,GBP,Corporate,Organization finally option.,0.61,32.98,1390437031376,Nelson-Thomas,2024-05-01,5179132104,Online Transfer,2113052719623
189796.41,Herself chance win become really prepare produce direction statement.,RTGS,GBP,Retail,Blood other ready specific.,0.53,66.02,6391325921529,Davis-Reynolds,2024-07-19,8033163049,Credit,6863632657199
67333.97,Think off visit industry deal yeah unit such nation yes.,SWIFT,EUR,Retail,Certainly find require order answer.,0.99,86.2,1668079844626,Hill-Lawrence,2024-06-13,3005542890,Credit,2994325142697
59766.98,Interview single five air part kind admit nature traditional nature picture up against.,SWIFT,USD,Retail,Call science authority personal technology.,0.51,34.99,5844515008456,"Galvan, Santiago and Castillo",2024-01-24,3845079230,Credit,9906761113116
144931.92,Company later beautiful color order by consider.,RTGS,GBP,Retail,To newspaper film anyone.,1.05,3.39,4755387365261,Marshall-Jenkins,2024-07-25,9548811085,Online Transfer,6077835591920
179490.78,Professor surface during southern your myself entire early business born election two attorney.,SWIFT,GBP,Corporate,According continue practice according appear.,0.52,79.19,6338566424827,Dalton-Phillips,2024-04-25,8599275613,Cash,7575366032235
